houseid,ntrip,hhsize,num0to4,num5to21,numadult,numwork,numdrive,income,numcars
20347,9,2,0,1,1,0,1,2500,1
20352,13,2,0,0,2,2,2,47500,2
20360,0,1,0,0,1,0,0,12500,0
20363,8,2,0,0,2,0,2,12500,2
20369,21,5,2,1,2,1,2,22500,1
20409,5,4,2,0,2,1,2,12500,1
20417,18,3,0,1,2,2,2,22500,2
20420,0,1,0,0,1,1,1,17500,1
20421,12,2,0,0,2,2,2,27500,1
20424,8,4,2,0,2,1,2,27500,2
20432,12,3,0,1,2,2,2,39593,2
20463,2,4,0,2,2,1,1,39593,2
20471,4,5,0,3,2,2,2,100000,4
20506,2,1,0,0,1,1,1,39593,1
20557,2,1,0,0,1,1,1,22500,1
20583,11,4,0,2,2,1,3,42500,2
20596,8,4,1,1,2,2,2,37500,2
20613,6,2,0,0,2,1,1,100000,1
20618,7,4,0,0,4,0,1,47500,1
20620,10,1,0,0,1,1,1,37500,1
20630,11,2,0,0,2,2,2,22500,1
20644,0,2,0,0,2,0,2,31005,2
20651,1,1,0,0,1,0,0,31005,0
20674,2,1,0,0,1,1,1,32500,2
20691,2,4,0,2,2,1,2,31005,2
20722,14,4,0,0,4,3,3,57500,5
20747,0,2,0,0,2,1,1,36153,1
20756,9,2,0,0,2,2,2,36153,2
20762,15,3,0,2,1,1,2,12500,2
20768,16,6,2,2,2,0,1,100000,2
20770,6,2,0,0,2,2,2,36153,1
20771,12,3,0,0,3,0,1,12500,3
20774,6,1,0,0,1,0,1,37500,1
20778,4,2,0,0,2,0,1,17500,1
20785,7,4,1,1,2,2,2,36153,2
20786,2,2,0,0,2,1,1,27500,2
20793,7,2,0,0,2,0,2,100000,2
20794,6,3,2,0,1,1,1,22500,1
20798,2,1,0,0,1,1,1,7500,1
20802,2,2,0,0,2,1,1,52500,2
20809,0,2,0,0,2,0,1,36153,1
20813,7,4,0,2,2,2,1,17500,1
20815,10,2,0,1,1,1,1,17500,1
20833,0,2,0,0,2,0,2,12500,2
20840,2,4,0,1,3,1,3,36153,3
20873,3,2,0,0,2,1,1,37500,2
20883,12,3,0,1,2,1,2,37500,2
20892,19,5,0,3,2,1,2,2500,2
20901,2,2,0,0,2,0,2,32500,1
20922,0,1,0,0,1,0,1,36153,0
20927,18,5,0,2,3,4,4,36153,5
20946,0,2,0,0,2,0,1,36153,1
20960,9,1,0,0,1,1,1,22500,1
20961,2,2,0,0,2,1,1,36153,2
20963,20,3,0,1,2,1,2,17500,1
20979,0,3,0,0,3,0,1,36153,3
20982,14,1,0,0,1,1,0,2500,0
20984,0,1,0,0,1,0,0,36153,0
20985,2,3,1,0,2,1,2,7500,2
20995,12,2,0,0,2,2,2,12500,0
20996,7,2,1,0,1,0,1,12500,1
21010,0,2,0,0,2,0,0,35571,1
21013,10,5,0,3,2,1,3,62500,2
21044,8,2,0,1,1,1,0,39593,0
21046,7,2,0,0,2,2,2,57500,2
21058,7,5,0,3,2,2,2,72500,2
21087,6,1,0,0,1,0,1,17500,1
21093,4,1,0,0,1,0,1,36153,1
21096,28,4,0,2,2,2,2,36153,2
21124,11,2,0,0,2,1,1,47500,1
21126,13,4,0,0,4,3,4,47500,4
21135,0,2,0,0,2,1,2,36153,3
21143,2,1,0,0,1,1,1,17500,5
21170,4,3,0,2,1,1,1,36153,1
21174,6,4,2,0,2,2,2,52500,4
21175,26,5,1,1,3,3,4,57500,5
21182,17,2,0,0,2,2,2,42500,3
21199,6,2,0,0,2,1,1,47500,2
21202,8,3,0,1,2,2,2,12500,2
21212,10,2,0,1,1,1,1,12500,1
21213,4,4,2,1,1,0,0,2500,0
21237,3,1,0,0,1,1,1,52500,2
21238,0,1,0,0,1,0,1,32500,1
21239,0,1,0,0,1,0,1,32500,1
21250,5,2,0,0,2,2,2,17500,3
21262,5,1,0,0,1,0,1,32500,2
21263,13,7,2,1,4,2,4,32665,4
21264,14,4,1,1,2,0,1,37500,1
21299,35,4,0,2,2,2,2,57500,2
21323,11,5,1,2,2,2,2,67500,3
21328,2,4,2,0,2,1,2,100000,2
21338,8,5,0,2,3,2,4,40565,4
21350,6,3,0,0,3,2,2,47500,3
21355,20,4,0,2,2,1,2,100000,3
21373,2,1,0,0,1,0,1,17500,1
21389,6,3,0,1,2,2,2,32500,2
21390,4,2,0,0,2,2,2,40565,2
21409,2,2,0,0,2,0,2,40565,1
21423,4,1,0,0,1,0,1,2500,0
21427,1,2,0,0,2,0,2,40565,1
21429,6,4,0,2,2,1,2,57500,3
21431,14,4,0,3,1,1,1,27500,1
21434,2,2,0,0,2,1,1,57500,1
21436,8,5,2,1,2,2,2,100000,2
21452,6,2,0,0,2,2,2,47500,1
21456,7,2,0,0,2,2,2,67500,2
21487,5,2,0,0,2,1,2,47500,2
21509,6,4,0,1,3,3,3,100000,7
21514,5,2,0,0,2,1,2,32500,2
21540,9,3,0,0,3,2,3,67500,2
21552,2,1,0,0,1,0,1,40565,1
21555,6,2,0,0,2,1,1,77500,3
21557,3,1,0,0,1,1,1,57500,1
21558,5,1,0,0,1,1,1,40565,1
21614,3,5,0,1,4,1,2,100000,5
21637,5,2,0,0,2,2,2,40565,2
21638,0,1,0,0,1,0,1,40565,1
21641,7,4,0,2,2,2,2,62500,2
21645,6,4,2,0,2,1,1,100000,2
21650,7,3,0,1,2,1,3,62500,3
21659,14,2,0,0,2,0,1,22500,1
21669,0,1,0,0,1,0,1,7500,1
21673,28,5,0,3,2,3,3,100000,3
21714,8,1,0,0,1,0,1,32100,1
21721,17,5,1,3,1,0,2,100000,1
21722,21,3,0,1,2,1,3,77500,3
21723,2,1,0,0,1,0,1,67500,3
21729,2,2,0,0,2,1,2,37500,3
21762,2,1,0,0,1,0,1,17500,1
21771,9,4,2,0,2,2,2,17500,2
21780,9,3,0,1,2,2,3,22500,3
21790,16,2,0,0,2,1,2,39593,1
21793,11,3,0,1,2,2,2,52500,2
21803,2,2,0,0,2,1,1,39593,1
21806,4,2,0,0,2,2,2,39593,2
21808,6,3,0,1,2,1,2,12500,1
21816,2,2,0,0,2,0,2,22500,2
21818,8,4,1,1,2,2,2,39593,2
21824,6,2,0,0,2,2,2,7500,2
21826,27,6,0,4,2,2,3,39593,3
21847,4,2,0,0,2,1,1,39593,2
21866,24,4,0,2,2,0,1,47500,2
21876,6,3,0,1,2,1,2,42500,2
21894,5,2,0,1,1,1,0,7500,0
21895,11,4,0,2,2,1,2,37500,5
21901,4,3,0,0,3,0,3,100000,4
21921,3,1,0,0,1,0,1,2500,1
21922,4,2,0,0,2,1,1,17500,1
21923,4,2,0,0,2,2,2,47500,2
21924,4,3,0,1,2,1,3,32100,2
21926,13,5,1,2,2,1,3,57500,2
21940,10,2,0,0,2,2,2,37500,2
21975,11,2,0,0,2,0,2,32500,2
21994,0,2,0,0,2,0,2,32100,2
21999,4,3,1,0,2,2,2,36153,3
22005,11,3,0,0,3,1,3,12500,3
22034,8,6,0,4,2,1,2,12500,2
22045,9,2,0,0,2,2,2,27500,2
22068,3,1,0,0,1,1,0,7500,0
22072,5,2,0,0,2,0,1,7500,1
22076,18,3,0,0,3,0,2,12500,3
22092,9,3,0,0,3,2,3,32500,2
22100,12,5,0,3,2,1,2,36153,3
22107,0,1,0,0,1,0,0,36153,0
22110,0,3,1,1,1,1,1,2500,1
22112,4,2,0,0,2,2,2,42500,2
22127,14,3,0,1,2,2,2,37500,2
22131,4,1,0,0,1,1,1,36153,1
22135,23,5,2,1,2,2,2,52500,3
22140,5,3,0,1,2,0,2,37500,3
22143,12,3,0,1,2,2,2,36153,2
22146,3,1,0,0,1,0,1,36153,1
22163,6,1,0,0,1,0,1,17500,1
22207,15,2,0,0,2,2,2,27500,1
22280,3,4,0,2,2,1,2,32500,2
22291,5,3,0,1,2,2,3,52500,2
22296,8,3,0,1,2,2,2,57500,2
22299,0,1,0,0,1,0,0,2500,0
22303,0,2,0,0,2,1,1,12500,1
