ntrips,hhsize,nchlt12,nchgt12,nworker,nstudent,ncar,income,resloc
12,2,0,0,1,0,1,43000,2
42,4,2,0,2,0,1,31000,2
126,5,0,3,2,1,3,43000,2
111,4,0,2,1,2,1,31000,2
60,5,3,0,1,0,1,43000,2
20,2,0,0,0,0,1,20500,2
102,4,0,2,1,2,1,31000,2
25,5,3,0,1,0,1,31000,2
42,4,2,0,1,0,1,20500,2
64,4,1,1,1,1,1,31000,2
133,4,0,2,2,2,3,43000,2
73,4,0,2,1,2,1,31000,2
120,4,0,2,2,1,2,43000,2
67,2,0,0,2,0,2,20500,2
18,4,2,0,1,0,1,43000,2
52,2,0,1,0,0,2,31000,2
86,6,2,2,1,2,1,43000,2
120,5,0,3,1,2,2,43000,2
90,3,0,1,1,1,1,31000,2
36,2,0,0,0,0,1,31000,2
14,2,0,0,0,0,1,20500,2
81,4,0,2,1,2,1,31000,2
77,4,0,2,1,2,1,20500,2
14,2,1,0,0,0,1,31000,2
56,4,1,1,1,1,1,31000,2
55,5,3,0,1,0,1,43000,2
28,4,2,0,1,0,1,20500,2
21,2,0,0,0,0,1,31000,2
30,2,0,0,0,0,1,31000,2
22,5,3,0,1,0,1,31000,2
39,4,2,0,1,0,1,31000,2
60,3,1,0,1,0,1,20500,2
95,4,0,2,1,2,2,20500,2
80,4,2,0,1,0,1,31000,2
83,2,0,0,1,0,1,31000,2
26,3,0,1,1,0,2,31000,2
118,5,0,3,1,3,3,43000,2
50,4,1,1,1,1,1,31000,2
87,4,2,0,1,0,1,43000,2
46,3,0,1,1,0,2,43000,2
35,1,0,0,0,0,1,20500,2
84,6,1,3,1,2,2,31000,2
59,4,1,1,2,1,1,31000,2
51,3,1,0,0,0,1,31000,2
12,1,0,0,0,0,0,12000,2
57,2,0,0,2,0,1,43000,2
14,1,0,0,0,1,0,12000,3
68,3,0,1,2,1,1,43000,3
22,1,0,0,0,1,0,12000,1
13,1,0,0,0,1,0,12000,1
17,1,0,0,0,1,0,12000,1
22,1,0,0,0,1,0,12000,1
24,1,0,0,0,1,0,12000,1
26,1,0,0,0,1,0,12000,2
8,1,0,0,0,1,0,12000,3
11,1,0,0,0,1,0,12000,3
39,3,1,0,2,0,2,43000,1
45,2,0,0,2,0,1,43000,2
35,2,0,0,2,0,2,43000,2
55,2,0,0,2,0,1,43000,2
57,3,1,0,1,0,1,31000,2
52,6,2,2,2,2,3,43000,3
40,4,2,0,1,0,1,31000,3
27,2,0,0,0,0,0,20500,1
46,3,0,1,1,0,1,43000,1
20,2,0,0,0,0,0,43000,1
37,2,0,0,0,0,1,31000,1
44,5,3,0,2,0,1,31000,1
49,5,2,1,1,1,1,31000,1
48,2,0,0,2,0,1,31000,1
65,4,0,2,1,2,1,43000,1
12,3,1,0,2,0,1,31000,1
13,2,0,1,0,0,0,20500,1
41,2,0,0,2,0,2,43000,1
130,4,0,2,1,2,0,31000,1
77,4,0,2,1,2,0,20500,1
55,4,2,0,1,0,1,20500,1
36,4,2,0,1,0,1,31000,1
49,2,0,0,2,0,1,43000,1
49,4,2,0,1,0,0,31000,1
103,5,2,1,2,1,0,20500,1
103,5,0,3,2,0,0,43000,1
35,2,0,0,1,0,1,31000,1
61,4,1,1,1,1,2,43000,1
81,3,0,1,2,1,1,43000,1
14,2,0,1,1,0,2,20500,1
118,3,0,1,1,1,1,31000,1
34,2,0,0,1,0,1,31000,1
57,5,3,0,1,0,1,31000,1
61,3,0,1,1,1,1,43000,1
115,4,0,2,0,1,1,31000,1
78,4,2,0,2,0,1,43000,1
96,4,0,2,2,1,0,31000,1
40,6,4,0,2,0,1,31000,1
55,4,2,0,1,0,1,20500,1
74,3,1,1,1,1,0,31000,1
64,4,1,1,0,1,2,43000,1
70,3,0,1,1,1,0,31000,1
62,4,1,1,2,1,1,43000,1
23,2,0,0,1,0,1,43000,2
61,4,2,0,2,0,1,43000,1
62,4,1,1,0,1,0,31000,1
35,2,0,0,2,0,1,43000,1
20,1,0,0,0,0,1,20500,1
12,1,0,0,1,0,0,31000,1
23,1,0,0,1,0,0,12000,1
26,1,0,0,0,0,1,31000,1
27,1,0,0,0,0,1,43000,1
41,2,1,0,1,0,0,31000,1
62,5,3,0,1,0,1,31000,1
116,7,4,1,1,1,1,43000,1
24,1,0,0,0,1,1,12000,1
50,2,0,1,0,1,0,20500,1
26,1,0,0,0,1,0,12000,1
32,1,0,0,0,1,0,12000,1
128,3,0,1,1,0,3,43000,1
87,5,0,3,0,2,0,31000,1
69,4,0,2,1,2,1,31000,1
40,2,0,0,0,0,1,12000,1
19,1,0,0,1,0,1,31000,1
58,4,2,0,2,0,1,31000,1
131,4,1,1,1,1,1,43000,1
87,4,0,2,2,2,1,43000,1
48,4,2,0,2,0,1,31000,1
20,4,2,0,2,0,1,31000,1
43,4,0,2,0,2,1,12000,1
14,1,0,0,0,0,0,12000,1
38,4,2,0,2,0,1,31000,1
36,3,0,1,2,1,1,31000,1
12,2,0,0,0,0,0,12000,1
18,5,3,0,1,0,1,43000,1
53,3,1,1,1,1,1,12000,1
46,4,0,2,2,1,1,31000,1
63,3,1,0,2,0,1,31000,1
22,2,0,0,0,0,0,43000,1
39,2,0,0,2,0,1,43000,1
9,1,0,0,0,0,0,31000,1
37,2,0,0,2,0,2,43000,1
25,1,0,0,0,0,0,12000,1
23,1,0,0,1,0,0,20500,1
20,2,0,0,0,0,0,31000,1
68,4,0,2,1,2,1,31000,1
108,5,2,1,2,1,1,43000,1
58,5,2,1,1,1,1,31000,1
50,4,2,0,2,0,0,43000,1
41,5,3,0,1,0,1,43000,1
61,4,2,0,1,0,1,43000,1
99,5,0,3,1,3,1,43000,1
36,1,0,0,1,0,0,31000,1
33,1,0,0,1,0,1,31000,1
15,1,0,0,0,0,0,12000,1
31,3,1,0,2,0,0,43000,1
4,1,0,0,0,0,0,12000,1
26,1,0,0,1,0,0,31000,1
73,4,2,0,1,0,1,43000,1
30,1,0,0,1,0,0,20500,1
41,2,0,0,2,0,1,31000,1
121,4,0,2,2,2,0,43000,1
11,2,0,0,2,0,1,31000,1
5,1,0,0,1,0,0,12000,1
16,1,0,0,0,1,0,12000,1
42,3,1,0,1,0,0,31000,1
6,1,0,0,0,0,1,20500,1
48,3,0,1,2,0,1,43000,1
89,5,0,3,1,2,2,43000,1
33,3,1,0,1,0,1,43000,1
11,2,1,0,0,0,1,20500,1
23,2,0,0,1,0,0,31000,1
13,1,0,0,1,0,0,12000,1
19,2,0,0,0,0,1,43000,1
60,3,0,1,1,1,1,43000,1
12,1,0,0,0,1,0,12000,1
36,1,0,0,0,1,1,12000,1
34,1,0,0,0,0,1,43000,1
34,2,0,0,0,0,1,43000,1
26,2,0,0,1,0,0,20500,1
9,1,0,0,0,0,0,12000,1
15,1,0,0,0,0,0,20500,1
42,4,2,0,2,0,1,31000,1
16,2,0,0,0,0,1,12000,1
50,2,0,0,1,1,0,31000,1
13,1,0,0,0,0,1,12000,1
44,2,0,0,0,0,0,20500,1
21,2,0,1,1,0,1,43000,1
27,2,0,0,0,0,0,31000,1
30,1,0,0,0,1,0,12000,1
14,2,0,0,0,0,0,31000,1
36,3,1,0,1,0,1,31000,1
36,2,0,0,2,0,1,43000,1
29,2,0,0,0,0,1,43000,1
72,2,0,0,1,0,1,31000,1
4,1,0,0,0,0,0,12000,1
95,3,0,1,2,1,1,31000,1
38,2,0,0,0,0,1,31000,1
73,4,0,2,2,1,1,43000,1
36,1,0,0,0,0,1,12000,1
19,1,0,0,1,0,1,20500,1
57,2,0,0,0,2,0,31000,1
12,1,0,0,0,1,0,12000,1
22,1,0,0,0,1,0,12000,1
5,1,0,0,1,0,0,12000,1
11,1,0,0,0,1,1,12000,1
21,1,0,0,0,1,0,12000,1
13,1,0,0,0,0,0,12000,1
22,1,0,0,1,0,1,20500,1
74,4,0,2,1,2,1,31000,2
29,2,0,0,0,0,1,20500,2
69,4,0,2,2,2,2,43000,2
45,2,0,0,0,0,0,31000,2
48,5,3,0,1,0,1,31000,2
68,2,0,0,1,0,1,31000,2
43,4,1,1,1,1,1,43000,2
61,3,0,1,2,0,1,20500,2
22,2,0,1,0,1,1,20500,2
57,4,2,0,1,0,1,31000,2
86,4,2,0,1,0,1,20500,2
13,2,0,0,0,0,1,20500,2
37,2,0,0,0,0,1,43000,2
67,4,1,1,2,0,1,31000,2
49,3,1,0,2,0,1,43000,2
39,2,0,0,1,0,1,43000,2
60,2,0,0,2,0,1,43000,2
50,4,2,0,1,0,2,20500,2
81,5,3,0,1,0,1,31000,2
37,3,0,1,1,0,2,31000,2
89,3,0,1,1,1,1,43000,2
95,4,0,2,2,2,1,31000,2
22,2,0,0,1,0,1,31000,2
35,1,0,0,0,0,0,20500,2
17,1,0,0,0,0,0,12000,2
65,4,1,1,1,1,1,31000,2
14,1,0,0,1,0,1,43000,2
33,3,1,1,0,1,0,20500,2
40,2,0,0,1,0,1,20500,2
61,4,0,2,1,2,1,43000,2
74,5,2,1,1,1,1,31000,2
63,3,0,2,1,2,1,31000,2
26,2,0,0,0,0,1,31000,2
48,4,2,0,1,0,1,20500,2
35,2,0,0,2,0,1,31000,2
65,2,0,0,1,1,0,31000,2
37,2,0,0,0,0,1,43000,2
56,5,1,2,2,1,1,31000,2
46,2,0,0,1,0,1,43000,2
40,4,2,0,1,0,1,31000,2
10,3,0,1,2,1,1,43000,2
46,4,0,2,1,2,1,31000,2
77,3,0,1,1,1,1,31000,2
52,2,0,0,2,0,1,43000,2
60,4,2,0,1,0,1,31000,2
78,4,0,2,2,2,1,43000,2
41,2,0,0,2,0,1,43000,2
25,1,0,0,0,0,0,12000,2
0,1,0,0,0,0,0,12000,2
92,5,1,2,1,2,1,43000,2
77,5,1,2,1,2,0,31000,2
95,5,1,2,1,2,1,43000,2
36,3,2,0,1,0,1,20500,2
57,2,0,0,2,0,1,43000,2
43,2,0,0,2,0,1,43000,2
59,4,0,2,2,1,1,43000,2
50,4,2,0,2,0,1,31000,2
18,3,1,1,1,0,1,43000,2
76,4,2,0,1,0,1,31000,2
0,4,2,0,1,0,1,31000,2
24,4,2,0,1,0,1,31000,2
43,4,2,0,2,0,1,43000,2
11,1,0,0,1,0,1,31000,2
6,3,1,0,1,0,1,20500,2
81,4,2,0,2,0,1,31000,2
0,2,0,0,1,0,0,31000,2
28,3,1,1,0,1,0,12000,2
50,3,0,1,1,0,1,31000,2
119,4,0,2,1,2,1,31000,2
73,3,1,0,1,0,1,20500,2
42,2,0,0,2,0,1,31000,2
45,2,0,0,2,0,2,43000,2
98,4,0,2,2,2,1,31000,2
30,2,0,0,2,0,1,43000,2
82,4,1,2,0,2,0,12000,2
64,3,1,0,2,0,1,43000,2
53,2,0,0,2,0,1,43000,2
123,3,0,1,2,0,1,31000,2
1,1,0,0,1,0,0,31000,2
46,3,1,0,1,0,2,31000,2
26,2,1,0,1,0,1,12000,2
49,2,0,0,2,0,1,43000,2
27,2,0,0,1,1,1,12000,2
17,1,0,0,1,0,1,12000,2
45,2,0,0,0,0,0,31000,2
35,2,0,0,0,0,1,20500,2
19,1,0,0,1,0,0,20500,2
21,1,0,0,0,1,0,12000,2
45,4,2,0,2,0,1,43000,3
27,1,0,0,1,0,0,12000,1
18,1,0,0,0,1,0,12000,1
21,1,0,0,0,1,0,12000,1
18,1,0,0,0,1,0,12000,1
14,1,0,0,1,0,0,12000,1
17,1,0,0,1,0,0,31000,2
11,1,0,0,1,0,0,12000,1
5,1,0,0,0,0,0,31000,1
13,2,1,0,0,0,0,12000,1
71,5,3,0,1,0,1,31000,1
64,3,0,1,2,0,0,43000,1
106,4,0,2,2,2,1,43000,1
93,4,0,2,2,1,2,43000,1
20,3,0,1,1,0,2,43000,1
26,3,1,0,1,0,1,31000,1
74,4,1,1,2,1,1,43000,1
26,1,0,0,1,0,1,20500,1
18,1,0,0,1,0,0,20500,1
10,2,0,0,0,0,0,20500,1
46,2,0,0,0,0,1,20500,1
17,1,0,0,0,0,0,31000,1
32,2,0,1,1,0,2,43000,1
85,4,0,2,1,2,1,31000,1
16,2,0,0,0,0,2,31000,1
12,2,0,0,0,0,1,31000,1
21,2,1,0,0,0,0,12000,1
7,1,0,0,1,0,0,12000,1
48,4,2,0,0,0,1,20500,1
17,1,0,0,0,0,0,20500,1
24,3,1,0,1,0,1,31000,1
20,1,0,0,1,0,1,31000,1
17,2,0,0,1,0,1,43000,1
25,1,0,0,1,0,0,31000,1
16,2,0,0,0,0,1,43000,1
47,3,1,0,1,0,1,31000,1
93,4,0,2,2,2,1,43000,1
44,2,0,0,2,0,2,43000,1
67,3,0,1,1,1,1,43000,1
48,1,0,0,0,0,1,12000,1
23,1,0,0,1,0,1,43000,1
48,2,0,0,0,0,1,31000,1
21,2,0,0,2,0,1,31000,1
44,3,0,1,2,1,1,31000,1
84,5,0,3,2,2,1,43000,1
12,1,0,0,1,0,0,31000,1
45,2,0,0,0,0,1,31000,1
52,2,0,0,2,0,1,43000,1
46,3,0,1,2,0,1,31000,1
23,2,1,0,0,0,0,12000,1
32,2,0,0,0,0,1,31000,1
17,1,0,0,1,0,1,20500,1
74,3,1,0,1,0,1,20500,1
34,1,0,0,1,0,0,43000,1
19,2,1,0,1,0,1,31000,1
31,4,1,1,1,1,1,31000,1
61,4,2,0,2,0,2,43000,1
19,3,1,1,0,1,1,12000,1
36,2,0,0,0,0,1,31000,1
3,2,0,0,0,0,0,31000,1
44,4,0,2,2,1,1,43000,1
35,2,0,0,0,0,0,31000,1
